脸红仆仆@成长@苹果的脸红仆仆的，像在诉说着自己的成长	果园里，
水珠@叶子@聚在那鲜绿的叶子上的一颗颗小水珠，像一颗颗璀璨的小珍珠撒在那翠绿的叶子上	晶莹透亮。
悲伤@云@悲伤是云	吹来朵朵乌云。
理想@深渊@理想就是一个深渊	从跳下那一刻起，就逼迫你奋力搏击。
爱情@上帝@爱情像上帝	很多人相信它，但是没有人见过。
青草@珍珠@还有洁白的羊群在悠闲地吃着青草，像是散落在草原上的颗颗珍珠	在草原的深处，
树好@仪仗队@公路两旁的白杨树好像两排仪仗队整齐站列	欢迎欢迎。
人生@河@人生像河中一缕浮萍	不知为了归于何处。
唠叨@老师@唠叨，是老师真诚的爱	无微不至的关心。
生活@叶@生活是鲜绿的叶	吸收温暖制造养分。
卡车@棺材@这卡车又长又矮，像一口棺材	没有一点儿弹簧来缓和它的震动。
生活@调料盒@生活像调料盒	酸甜苦辣在其中。
白云@行人@天上的白云多得像地上的行人	数也数不清。
樱花@小孩@含苞欲放的樱花似妈妈怀里的小孩	吮吸着乳汁，静静地微笑着。
雪花@伞兵@看那玉蝶似的雪花在空中翩翩起舞它像从天而降的小伞兵	漫天飞舞。
温暖@水@温暖是沙漠中稀有的一滴水	让口干舌燥的人感到甘甜。
小鸟@落叶@天空的小鸟就像一片无助的落叶	一团渺茫的飞絮，在孤独地飞翔。
荷叶@飞碟@荷叶看上去像飞碟	无边无际的荷叶碧色连天。
车队@河@车队像一条河	缓缓地流在深冬的风里。
螃蟹@蜘蛛@小螃蟹像只蜘蛛	在沙滩上飞驰。
大雨@少年@树叶被大雨冲刷，像奋发向上的少年	夏天，
玉米@智者@玉米像一个智者	身上布满着智慧的种子。
春风@手@暖暖的春风，像妈妈的手	轻轻地抚摸着小姑娘的脸。
孝顺@春雨@孝顺是春雨	润物细无声。
爱情@香烟@爱情像香烟整天叼在嘴边	明明知道受伤的是自己，确总也也戒不掉。
绿叶@旗帜@那层层叠叠的绿叶，像绿树上迎风飘动的旗帜	充满了动感和生机。
唠叨@咖啡@唠叨是一杯咖啡	苦涩后却又感到甘甜。
友谊@佳酿@友谊是装在瓶里的佳酿	无色无味，多年后开启溢出的是那浓浓的情。
脸皱@茄子@他那张脸皱缩得像个干瘪的茄子	不知怎么会那么愁闷？。
秋天@司机@秋天像一位善解人意的司机	将每一片脱队的树叶带回大树的根部。
童年@星星@童年是天上的星星	每当回忆的时候总感觉温馨，却再也回不去了。
葡萄@水晶球@他采下了一大串紫水晶球似的葡萄	一颗颗饱满得甜汁都快流溢出来了。
嘴唇@样子@他灰白的嘴唇，像急得有话说不出的样子	全无血色。
岷江@土地@岷江像母亲一样养育着这片生机勃勃的土地	浇灌着庄稼，哺育着人们。
人们@蒸笼@人们像在蒸笼里一样	天气太热了，
喇叭@喇叭@喇叭花开了如一个个紫色的小喇叭	美丽的开放了。
小鸟@课文@树上的小鸟，叽叽喳喳地像书上的小鸟一样在朗诵着课文	清晨，
菠萝@金珠@一个个黄澄澄、金灿灿的菠萝，似金珠般井然有序地排列着	美极了。
书@玩具@书像我最爱的玩具一样	我喜欢读书，让我爱不释手，
朋友@惊雷@朋友是夏天的惊雷	在自满时给你警示。
理想@稻草@理想是失意时的救命稻草	于彷徨时带领我们走出困境。
理想@苗@理想是苗	长出生命的树。
书@钥匙@书像一把钥匙	开启我们心灵的智慧之窗。
悲伤@倒屋断墙@悲伤是大风过后的倒屋断墙	快乐是大风吹过时的洒脱飘然。
自信@明灯@自信是人生的一盏明灯	它照耀我们成长，它照耀我们走向成熟的人生。
梦@雪花@梦像一片雪花在空中飘舞想抓住他	他已经融化了。
思想@钻子@思想如钻子	必须集中在一点钻下去才有力量。
爱情@冰雪@爱情是冬季里的冰雪	给人以幸福未来的希冀。
春风@散花@春风像一位散花仙子	把大地装点得像一座花园。
爸爸@雨露@爸爸的爱似一滴雨露	滋润着我茁壮成长。
妈妈@快乐@妈妈是悲伤时的一份快乐	让我露出笑脸。
爱情@冰糖葫芦@爱情是冰糖葫芦	有甜也有酸。
友情@歌谣@友情是一首动听的歌谣	使生活枯燥的人感到生活的乐趣。
爱心@蓝天@爱心是蓝天	飞舞俏丽的云朵。
棉花@白莲@大地上的朵朵棉花，像是一朵朵盛开的白莲花	那么洁白无瑕。
森林@滤沙带@森林是地球的滤沙带	抵御风沙不胡来。
书@宝库@书是知识的宝库	使无知者变得博学多才。
云彩@孩子@美丽的云彩一会像一群可爱的孩子在嬉戏一会像一只乖巧的绵羊，千姿百态	各不相同。
日出@灯@看见日出我就仿佛看见了千万盏放光的灯	好耀眼啊。
叶子@妈妈@我观察到了有颗绿豆突出了一片小叶子，好像在妈妈的怀里不肯出来	今天，
理想@云@理想是云	化作及时的雨。
秋天@诗人@秋天像一位诗人	用优美的词句把秋装点得五彩斑斓。
时间@法官@时间像一个公正无私的法官	对谁都是很公平的，不会让身上的那一架天平倾斜。
劳动@钥匙@劳动是未来的钥匙	是成功的基础。
响声@声音@竹叶发出一阵阵“沙沙”的响声，好像轻轻弹琴的声音	一阵风吹过，
母爱@春风@母爱如一阵春风	轻轻抚摸着我的脸。
外壳@碉堡@小乌龟有一个坚硬的外壳，也像一个能够活动的小碉堡	外壳是翡翠色的。
烦恼@云@烦恼像一片云	萦绕在心头挥散不去。
火@泉水@火是一泓出现在沙漠里的泉水	使濒临绝境的人重新看到生活的希望。
笛曲@泣@一支悠扬的笛曲如泣如诉	婉转成海水的曲线。
玉米@棒槌@成熟的玉米像一个巨大的棒槌	玉米的果实成熟了，
太阳@火球@太阳像个巨大的火球	燃烧着身体，炙烤着大地。
阳光@彩虹桥@阳光又是一座彩虹桥	沟通你我之间不变的情谊。
孝顺@水晶@孝顺是水晶	是一笔宝贵的财富。
梅花@人儿@山上的梅花已经开了不少，像一个个头上戴着花的人儿	梅树挨挨挤挤的。
树叶@女子@银杏树叶像一个个轻盈的女子从树上缓缓落下来	秋天到了，
母爱@明灯@母爱如漆黑夜晚里的一盏明灯	让人看到方向。
犹@野马@运动员犹如脱缰的野马奔向前方	发令枪响后，
光波@碎银@闪着碎银似的光波	泉水叮咚有声，在夕阳的映射下，
